symbol,quarter_label,net_sales_cr,pat_cr,diluted_eps,source_url,pulled_at
ABLBL,Jun 2026,2049,31,0.26,https://www.screener.in/company/ABLBL/,2026-08-16T07:14:15
ABREL,Jun 2023,894,24,2.12,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Sep 2023,863,15,1.37,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Dec 2023,1019,115,10.30,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Mar 2024,231,-3,-0.26,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Jun 2024,78,30,2.71,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Sep 2024,62,14,1.28,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Dec 2024,79,13,1.16,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Mar 2025,104,-81,-7.27,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Jun 2025,67,48,4.27,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Sep 2025,68,79,7.10,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Dec 2025,63,44,3.94,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Mar 2026,63,181,16.19,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABREL,Jun 2026,63,63,5.68,https://www.screener.in/company/ABREL/,2026-08-16T07:14:15
ABSLAMC,Jun 2023,306,183,6.34,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Sep 2023,329,176,6.13,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Dec 2023,336,209,7.24,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Mar 2024,360,207,7.17,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Jun 2024,380,234,8.11,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Sep 2024,418,241,8.37,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Dec 2024,438,222,7.71,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Mar 2025,423,227,7.88,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Jun 2025,442,277,9.60,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Sep 2025,458,245,8.48,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Dec 2025,475,272,9.43,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Mar 2026,455,192,6.64,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ABSLAMC,Jun 2026,456,311,10.77,https://www.screener.in/company/ABSLAMC/,2026-08-16T07:14:15
ACC,Jun 2023,5201,464,24.71,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Sep 2023,4435,384,20.46,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Dec 2023,4918,527,28.09,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Mar 2024,5398,749,39.86,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Jun 2024,5200,366,19.50,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Sep 2024,4629,234,12.45,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Dec 2024,5940,1089,57.99,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Mar 2025,6057,735,39.16,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Jun 2025,6066,384,20.48,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Sep 2025,5925,1112,59.22,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Dec 2025,6459,541,28.83,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Mar 2026,7076,249,13.24,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACC,Jun 2026,5766,148,7.88,https://www.screener.in/company/ACC/,2026-08-16T07:14:15
ACE,Jun 2023,650,67,5.65,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Sep 2023,672,74,6.19,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Dec 2023,753,89,7.43,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Mar 2024,836,98,8.24,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Jun 2024,734,84,7.03,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Sep 2024,754,94,7.92,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Dec 2024,873,107,9.00,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Mar 2025,959,118,9.94,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Jun 2025,652,97,8.13,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Sep 2025,741,104,8.72,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Dec 2025,853,116,9.73,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Mar 2026,1028,109,9.14,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACE,Jun 2026,782,119,9.96,https://www.screener.in/company/ACE/,2026-08-16T07:14:15
ACI,Jun 2023,343,94,7.65,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Sep 2023,290,66,5.39,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Dec 2023,413,102,8.28,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Mar 2024,283,60,4.83,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Jun 2024,211,48,3.93,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Sep 2024,238,22,1.77,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Dec 2024,243,56,4.56,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Mar 2025,322,58,4.72,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Jun 2025,279,52,4.20,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Sep 2025,221,38,3.12,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Dec 2025,250,34,2.78,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Mar 2026,292,30,2.41,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACI,Jun 2026,316,41,3.28,https://www.screener.in/company/ACI/,2026-08-16T07:14:15
ACMESOLAR,Sep 2023,139,30,2.84,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Dec 2023,82,0,0.02,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Mar 2024,190,404,38.65,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Jun 2024,369,152,2.91,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Sep 2024,435,46,0.87,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Dec 2024,279,2,0.02,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Mar 2025,269,-11,-0.18,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Jun 2025,283,1,0.01,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Sep 2025,332,31,0.52,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Dec 2025,918,32,0.52,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Mar 2026,2378,276,4.56,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACMESOLAR,Jun 2026,2266,122,1.72,https://www.screener.in/company/ACMESOLAR/,2026-08-16T07:14:15
ACUTAAS,Jun 2023,142,17,2.31,https://www.screener.in/company/ACUTAAS/,2026-08-16T07:14:15
